,word,lemma
0,urlLink,urllink
1,US,US
2,planning,plan
3,recruit,recruit
4,Americans,american
5,citizen,citizen
6,spies,spi
7,The,the
8,Bush,bush
9,Administration,administr
10,aims,aim
11,millions,million
12,United,unit
13,States,state
14,citizens,citizen
15,domestic,domest
16,informants,inform
17,program,program
18,likely,like
19,alarm,alarm
20,civil,civil
21,liberties,liberti
22,groups,group
23,So,So
24,delay,delay
25,contact,contact
26,local,local
27,FBI,fbi
28,FEMA,fema
29,representative,repres
30,today,today
31,Be,Be
32,first,first
33,block,block
34,join,join
35,Snitch,snitch
36,Bitches,bitch
37,And,and
38,remember,rememb
39,innocent,innoc
40,nothing,noth
41,hide,hide
