,word,lemma
0,Current,current
1,Phase,phase
2,Waning,wane
3,Gibbous,gibbou
4,Disseminating,dissemin
5,Virgo,virgo
6,Tuesday,tuesday
7,2,2
8,32,32
9,PM,PM
10,PST,pst
11,Mercury,mercuri
12,16,16
13,Saturday,saturday
14,During,dure
15,encouraged,encourag
16,share,share
17,distribute,distribut
18,insights,insight
19,gained,gain
20,light,light
21,Full,full
22,Moon,moon
23,By,By
24,harvesting,harvest
25,fruit,fruit
26,emotional,emot
27,experience,experi
28,see,see
29,works,work
30,worthy,worthi
31,carried,carri
32,forward,forward
33,well,well
34,yet,yet
35,successfully,success
36,released,releas
37,The,the
38,cycle,cycl
39,may,may
40,sweet,sweet
41,bitter,bitter
42,depending,depend
43,work,work
44,done,done
45,waxing,wax
46,phases,phase
47,Earthy,earthi
48,open,open
49,awareness,awar
50,little,littl
51,details,detail
52,ideas,idea
53,help,help
54,serve,serv
55,others,other
56,Enjoy,enjoy
57,healthful,health
58,foods,food
59,pure,pure
60,activities,activ
61,clean,clean
62,environment,environ
63,Time,time
64,real,real
65,Traits,trait
66,Practical,practic
67,hard,hard
68,working,work
69,meticulous,meticul
70,helpful,help
71,Sources,sourc
72,urlLink,urllink
73,MoonCat,mooncat
74,Astrology,astrolog
75,News,new
76,Calendar,calendar
77,MoonSurfing,moonsurf
