,word,stem
0,urlLink,urllink
1,Earthsong,earthsong
2,Eco,eco
3,Neighbourhood,neighbourhood
4,homes,home
5,sale,sale
6,Auckland,auckland
7,New,new
8,Zealand,zealand
9,Construction,construct
10,nearing,near
11,completion,complet
12,Zealands,zealand
13,first,first
14,sustainable,sustain
15,cohousing,cohous
16,neighbourhood,neighbourhood
17,incorporating,incorpor
18,Permaculture,permacultur
19,eco,eco
20,design,design
21,Located,locat
22,Waitakere,waitaker
23,City,citi
24,exciting,excit
25,non,non
26,profit,profit
27,development,develop
28,combines,combin
29,beautiful,beauti
30,Rammed,ram
31,Earth,earth
32,walls,wall
33,environmental,environment
34,technologies,technolog
35,healthy,healthi
36,toxic,toxic
37,materials,materi
38,neighbours,neighbour
39,care,care
40,Some,some
41,still,still
