,word,lemma
0,Once,onc
1,I,I
2,using,use
3,site,site
4,store,store
5,infomation,infom
6,would,would
7,otherwise,otherwis
8,forget,forget
9,In,In
10,Slashdot,slashdot
11,article,articl
12,air,air
13,filtration,filtrat
14,someone,someon
15,urlLink,urllink
16,posted,post
17,inexpensive,inexpens
18,way,way
19,filter,filter
20,whole,whole
21,room,room
22,Just,just
23,attach,attach
24,polyester,polyest
25,material,materi
26,poster,poster
27,suggested,suggest
28,1,1
29,thick,thick
30,Blue,blue
31,Tint,tint
32,large,larg
33,box,box
34,fan,fan
35,Seems,seem
36,simple,simpl
37,enough,enough
38,especially,especi
39,generous,gener
40,amount,amount
41,ambient,ambient
42,noise,nois
43,read,read
44,server,server
45,since,sinc
46,two,two
47,loud,loud
48,computers,comput
49,already,alreadi
