,word,stem
0,urlLink,urllink
1,The,the
2,Miller,miller
3,Crossing,cross
4,We,We
5,scared,scare
6,planes,plane
7,swan,swan
8,dived,dive
9,towers,tower
10,OK,OK
11,But,but
12,separates,separ
13,real,real
14,Americans,american
15,faux,faux
16,variety,varieti
17,turn,turn
18,spines,spine
19,hatcheck,hatcheck
20,lady,ladi
21,times,time
22,stress,stress
23,It,It
24,first,first
25,time,time
26,anyone,anyon
27,ever,ever
28,crawled,crawl
29,Rupert,rupert
30,Murdoch,murdoch
31,ass,ass
32,career,career
33,difficulty,difficulti
34,last,last
35,via,via
36,American,american
37,Samizdat,samizdat
