,word,stem
0,Here,here
1,little,littl
2,perl,perl
3,script,script
4,I,I
5,wrote,wrote
6,work,work
7,past,past
8,couple,coupl
9,days,day
10,Basically,basic
11,E10K,e10k
12,named,name
13,CAD,cad
14,hardware,hardwar
15,failure,failur
16,Oracle,oracl
17,database,databas
18,struggled,struggl
19,come,come
20,back,back
21,afterward,afterward
22,The,the
23,senior,senior
24,UNIX,unix
25,admin,admin
26,trouble,troubl
27,getting,get
28,Korn,korn
29,shell,shell
30,correctly,correctli
31,report,report
32,whether,whether
33,process,process
34,running,run
35,Originally,origin
36,would,would
37,grep,grep
38,list,list
39,one,one
40,specific,specif
41,shoot,shoot
42,email,email
43,admins,admin
44,Now,now
45,look,look
46,number,number
47,processes,process
48,send,send
49,emails,email
50,specified,specifi
51,comments,comment
52,explain,explain
53,line,line
54,might,might
55,need,need
56,explanation,explan
57,foreach,foreach
58,recipient_number,recipient_numb
59,process_recipient_bridge,process_recipient_bridg
60,array,array
61,arrays,array
62,lists,list
63,want,want
64,get,get
65,access,access
66,internal,intern
67,To,To
68,single,singl
69,element,element
70,use,use
71,index1,index1
72,index2,index2
73,whole,whole
74,still,still
75,cast,cast
76,If,If
77,run,run
78,BSD,bsd
79,OS,OS
80,X,X
81,Linux,linux
82,system,system
83,make,make
84,sure,sure
85,change,chang
86,ps,ps
87,ef,ef
88,ax,ax
89,mailx,mailx
90,mail,mail
91,usr,usr
92,bin,bin
93,Process,process
94,Alert,alert
95,Script,script
96,Usage,usag
97,Run,run
98,cron,cron
99,job,job
100,verify,verifi
101,pages,page
102,sent,sent
103,There,there
104,output,output
105,log,log
106,files,file
107,terminal,termin
108,Configuration,configur
109,This,thi
110,syntax,syntax
111,process_name,process_nam
112,alert,alert
113,item,item
114,name,name
115,description,descript
116,problem,problem
117,Recipient,recipi
118,accounts,account
119,Make,make
120,place,place
121,slash,slash
122,sign,sign
123,addresses,address
124,Example,exampl
125,CENSORED,censor
126,recipient,recipi
127,bridge,bridg
128,Each,each
129,corresponds,correspond
130,thus,thu
131,first,first
132,Said,said
133,contains,contain
134,indices,indic
135,recipients,recipi
136,4,4
137,7,7
138,10,10
139,process_list,process_list
140,ora_pmon_citrix,ora_pmon_citrix
141,n,n
142,Please,pleas
143,check,check
144,status,statu
145,Citrix,citrix
146,servers,server
147,ora_pmon_prod,ora_pmon_prod
148,Iman,iman
149,services,servic
150,LISTENE,listen
151,listener,listen
152,recipient_list,recipient_list
153,0,0
154,1,1
155,2,2
156,3,3
157,5,5
158,6,6
159,8,8
160,sub,sub
161,process_check,process_check
162,shift,shift
163,_,_
164,ps_text,ps_text
165,v,v
166,return,return
167,send_alert,send_alert
168,open,open
169,MAIL,mail
170,Check,check
171,Failed,fail
172,print,print
173,close,close
174,lcv,lcv
