,word,stem
0,taking,take
1,meds,med
2,abate,abat
3,dinner,dinner
4,I,I
5,think,think
6,problem,problem
7,morning,morn
8,blood,blood
9,may,may
10,time,time
11,Last,last
12,night,night
13,however,howev
14,took,took
15,rather,rather
16,late,late
17,ate,ate
18,eat,eat
19,couple,coupl
20,hours,hour
21,see,see
22,happens,happen
23,even,even
24,get,get
25,crack,crack
26,dawn,dawn
27,12,12
28,since,sinc
29,good,good
30,luck,luck
31,ps,ps
32,another,anoth
33,handful,hand
34,raisens,raisen
35,30,30
36,carb,carb
37,7,7
38,whole,whole
39,curried,curri
40,eggs,egg
41,3,3
42,curry,curri
43,explains,explain
44,im,im
45,hungry,hungri
46,bleh,bleh
47,ANYWAY,anyway
48,still,still
49,way,way
50,less,less
51,carbs,carb
52,normal,normal
