,word,stem
0,I,I
1,writing,write
2,San,san
3,Jose,jose
4,airport,airport
5,public,public
6,access,access
7,internet,internet
8,terminal,termin
9,A,A
10,muzak,muzak
11,version,version
12,Stand,stand
13,Me,Me
14,blares,blare
15,loud,loud
16,head,head
17,Visiting,visit
18,Santa,santa
19,Cruz,cruz
20,lovely,love
21,still,still
22,feel,feel
23,completely,complet
24,unsure,unsur
25,life,life
26,Albuquerque,albuquerqu
27,looms,loom
28,like,like
29,goal,goal
30,waiting,wait
31,ahead,ahead
32,distance,distanc
33,There,there
34,shadows,shadow
35,mountains,mountain
36,across,across
37,runway,runway
38,2,2
39,minutes,minut
40,time,time
41,go,go
