,word,stem
0,urlLink,urllink
1,Lawsuit,lawsuit
2,claiming,claim
3,CIA,cia
4,put,put
5,LSD,lsd
6,vet,vet
7,drink,drink
8,1957,1957
9,proceed,proceed
10,I,I
11,drugged,drug
12,guys,guy
13,involved,involv
14,10,10
15,12,12
16,instances,instanc
17,says,say
18,rat,rat
19,fucker,fucker
20,former,former
21,federal,feder
22,narcotics,narcot
23,agent,agent
24,Ira,ira
25,Feldman,feldman
26,worked,work
27,Project,project
28,MKULTRA,mkultra
29,follow,follow
30,You,you
31,back,back
32,away,away
33,let,let
34,worry,worri
35,like,like
36,nitwit,nitwit
37,via,via
