,word,lemma
0,urlLink,urllink
1,The,the
2,Passion,passion
3,Christ,christ
4,Blooper,blooper
5,Reel,reel
6,shackled,shackl
7,stone,stone
8,scourged,scourg
9,Roman,roman
10,soldiers,soldier
11,Blood,blood
12,runs,run
13,gory,gori
14,back,back
15,His,hi
16,pain,pain
17,palpable,palpabl
18,Jesus,jesu
19,writhes,writh
20,hands,hand
21,shaking,shake
22,Cell,cell
23,phone,phone
24,rings,ring
25,shake,shake
26,furiously,furious
27,Caviezel,caviezel
28,looks,look
29,sheepish,sheepish
30,soldier,soldier
31,Jim,jim
32,That,that
33,Yeah,yeah
34,Soldier,soldier
35,Want,want
36,get,get
37,gingerly,gingerli
38,reaches,reach
39,Caviezels,caviezel
40,blood,blood
41,soaked,soak
42,loincloth,loincloth
43,pulls,pull
44,opens,open
45,holds,hold
46,ear,ear
47,Off,off
48,Camera,camera
49,laughter,laughter
50,Hey,hey
51,Mom,mom
52,Volunteer,volunt
53,Let,let
54,Oh,Oh
55,God,god
56,Scientist,scientist
57,Be,Be
58,quiet,quiet
59,let,let
60,check,check
61,shroud,shroud
62,hmm,hmm
63,sweat,sweat
64,filth,filth
65,human,human
66,image,imag
67,cloth,cloth
68,yet,yet
69,I,I
70,guess,guess
71,stay,stay
72,tied,tie
73,cross,cross
74,But,but
75,hanging,hang
76,three,three
77,days,day
78,please,pleas
79,stab,stab
80,wound,wound
81,really,realli
82,starting,start
83,hurt,hurt
84,given,given
85,drink,drink
86,vinegar,vinegar
87,sun,sun
88,hot,hot
89,itchy,itchi
90,This,thi
91,science,scienc
92,must,must
93,replicate,replic
94,conditions,condit
95,exactly,exactli
96,Remember,rememb
97,lord,lord
98,wrapped,wrap
99,around,around
100,27,27
101,We,We
102,barely,bare
103,third,third
104,day,day
105,already,alreadi
106,wimping,wimp
107,You,you
108,got,got
109,five,five
110,dollars,dollar
111,reputable,reput
112,scientific,scientif
113,establishment,establish
114,forsaken,forsaken
