,word,lemma
0,80,80
1,done,done
2,move,move
3,pieces,piec
4,furniture,furnitur
5,need,need
6,take,take
7,care,care
8,got,got
9,important,import
10,things,thing
11,parents,parent
12,house,hous
13,apartment,apart
14,right,right
15,rather,rather
16,empty,empti
17,yet,yet
18,still,still
19,much,much
20,relieving,reliev
21,staying,stay
22,original,origin
23,plan,plan
24,heh,heh
25,us,us
26,go,go
27,unsheltered,unshelt
28,freedom,freedom
29,back,back
30,smooth,smooth
31,transition,transit
32,anywho,anywho
33,tomorrow,tomorrow
34,good,good
35,days,day
36,get,get
37,another,anoth
38,place,place
39,stay,stay
40,soooo,soooo
41,internet,internet
42,wont,wont
43,thats,that
44,happened,happen
45,today,today
46,shit,shit
47,going,go
48,real,real
49,nice,nice
50,feel,feel
51,phone,phone
52,rang,rang
53,goodnight,goodnight
