,word,lemma
0,My,My
1,Favourite,favourit
2,Quote,quot
3,Today,today
4,To,To
5,laugh,laugh
6,often,often
7,much,much
8,win,win
9,respect,respect
10,intelligent,intellig
11,people,peopl
12,affection,affect
13,children,children
14,earn,earn
15,appreciation,appreci
16,honest,honest
17,critics,critic
18,endure,endur
19,betrayal,betray
20,false,fals
21,friends,friend
22,appreciate,appreci
23,beauty,beauti
24,find,find
25,best,best
26,others,other
27,leave,leav
28,world,world
29,bit,bit
30,better,better
31,know,know
32,even,even
33,one,one
34,life,life
35,breathes,breath
36,easier,easier
37,lived,live
38,This,thi
39,succeeded,succeed
40,Ralph,ralph
41,Waldo,waldo
42,Emerson,emerson
