,word,lemma
0,New,new
1,Mindjack,mindjack
2,today,today
3,urlLink,urllink
4,Josh,josh
5,examines,examin
6,online,onlin
7,interconnected,interconnect
8,groups,group
9,people,peopl
10,turn,turn
11,advice,advic
12,music,music
13,art,art
14,fashion,fashion
15,books,book
16,etc,etc
17,broader,broader
18,implications,implic
19,taste,tast
20,tribes,tribe
21,Also,also
22,Justin,justin
23,Hall,hall
24,reviews,review
25,Panzer,panzer
26,Dragoon,dragoon
27,Orta,orta
28,Xbox,xbox
29,The,the
30,illustration,illustr
31,btw,btw
32,Matt,matt
33,Hinrichs,hinrich
34,hopefully,hope
35,semi,semi
36,regular,regular
37,ones,one
38,us,us
