,word,stem
0,urlLink,urllink
1,Shock,shock
2,And,and
3,Awe,awe
4,Shak,shak
5,ah,ah
6,We,We
7,Will,will
8,Rock,rock
9,You,you
10,In,In
11,order,order
12,God,god
13,might,might
14,visible,visibl
15,angels,angel
16,humans,human
17,nurtured,nurtur
18,consciousness,conscious
19,allowed,allow
20,Glory,glori
21,take,take
22,shape,shape
23,form,form
24,divine,divin
25,fire,fire
26,light,light
27,known,known
28,prophets,prophet
29,mystics,mystic
30,Most,most
31,Christians,christian
32,Jews,jew
33,unaware,unawar
34,Divine,divin
35,Fire,fire
36,feminine,feminin
37,component,compon
38,deity,deiti
39,biblical,biblic
40,times,time
41,This,thi
42,called,call
43,shakina,shakina
44,via,via
