,word,stem
0,urlLink,urllink
1,Discovery,discoveri
2,Health,health
3,Quit,quit
4,Smoking,smoke
5,If,If
6,You,you
7,StoppedToday,stoppedtoday
8,This,thi
9,site,site
10,states,state
11,review,review
12,numerous,numer
13,research,research
14,studies,studi
15,focusing,focus
16,smoking,smoke
17,cessation,cessat
18,concluded,conclud
19,women,women
20,may,may
21,suffer,suffer
22,greater,greater
23,relative,rel
24,risks,risk
25,related,relat
26,diseases,diseas
27,men,men
28,tend,tend
29,difficulty,difficulti
30,quitting,quit
31,I,I
32,sure,sure
33,true,true
34,good,good
35,reasons,reason
36,remember,rememb
37,craving,crave
38,bad,bad
39,like,like
40,right,right
41,Reproductive,reproduct
42,health,health
43,Women,women
44,smokers,smoker
45,higher,higher
46,risk,risk
47,pregnancy,pregnanc
48,complications,complic
49,early,earli
50,menopause,menopaus
51,infertility,infertil
52,miscarriage,miscarriag
53,pre,pre
54,term,term
55,delivery,deliveri
56,stillbirth,stillbirth
57,infant,infant
58,death,death
59,low,low
60,birth,birth
61,weight,weight
62,babies,babi
63,also,also
64,doubles,doubl
65,woman,woman
66,cervical,cervic
67,cancer,cancer
68,Children,children
69,increases,increas
70,chances,chanc
71,sudden,sudden
72,syndrome,syndrom
73,perinatal,perinat
74,deaths,death
75,learning,learn
76,disorders,disord
77,attention,attent
78,deficit,deficit
79,disorder,disord
80,disruptive,disrupt
81,behavior,behavior
82,bathe,bath
83,fetus,fetu
84,brain,brain
85,nicotine,nicotin
86,nine,nine
87,months,month
88,clear,clear
89,profound,profound
90,effects,effect
91,says,say
92,Dr,Dr
93,Timothy,timothi
94,McAfee,mcafe
95,executive,execut
96,director,director
97,promotion,promot
98,disease,diseas
99,prevention,prevent
100,Group,group
101,Cooperative,cooper
102,Puget,puget
103,Sound,sound
104,Hormones,hormon
105,causes,caus
106,enter,enter
107,sooner,sooner
108,interrupts,interrupt
109,menstrual,menstrual
110,cycle,cycl
111,It,It
112,well,well
113,established,establish
114,aging,age
115,processskin,processskin
116,wrinklesis,wrinklesi
117,substantially,substanti
118,faster,faster
119,smoke,smoke
120,adds,add
