,word,lemma
0,urlLink,urllink
1,Brain,brain
2,Size,size
3,In,In
4,Premature,prematur
5,Infants,infant
6,Significantly,significantli
7,Smaller,smaller
8,Than,than
9,Full,full
10,Term,term
11,Babies,babi
12,well,well
13,known,known
14,fact,fact
15,The,the
16,braincase,braincas
17,humans,human
18,large,larg
19,full,full
20,development,develop
21,females,femal
22,would,would
23,structured,structur
24,differently,differ
25,give,give
26,birth,birth
27,Instead,instead
28,brain,brain
29,increase,increas
30,size,size
31,Of,Of
32,course,cours
33,going,go
34,one,one
35,last,last
36,things,thing
37,fully,fulli
38,develop,develop
39,thus,thu
40,premature,prematur
41,babies,babi
42,smaller,smaller
43,brains,brain
