,word,lemma
0,urlLink,urllink
1,You,you
2,Create,creat
3,Your,your
4,World,world
5,This,thi
6,chapter,chapter
7,excerpt,excerpt
8,book,book
9,Hermes,herm
10,Reality,realiti
11,Creator,creator
12,I,I
13,It,It
14,copyright,copyright
15,1999,1999
16,2003,2003
17,Trismegistus,trismegistu
18,Please,pleas
19,follow,follow
20,link,link
21,additional,addit
22,information,inform
23,Or,Or
24,go,go
25,one,one
26,following,follow
27,links,link
28,final,final
29,version,version
30,copies,copi
31,Books,book
32,Supplies,suppli
33,http,http
34,www,www
35,wisdomsdoor,wisdomsdoor
36,com,com
37,realitycreatorbooks,realitycreatorbook
38,Note,note
39,exact,exact
40,copy,copi
41,printed,print
42,think,think
43,therefore,therefor
44,create,creat
45,world,world
46,No,No
47,concept,concept
48,possesses,possess
49,power,power
50,idea,idea
51,Think,think
52,The,the
53,change,chang
54,rests,rest
55,within,within
56,mind,mind
57,Thought,thought
58,creation,creation
59,fact,fact
60,reality,realiti
61,realities,realiti
62,physical,physic
63,however,howev
64,would,would
65,often,often
66,believe,believ
67,otherwise,otherwis
68,When,when
69,fate,fate
70,hands,hand
71,people,peopl
72,things,thing
73,beyond,beyond
74,control,control
75,lose,lose
76,fundamental,fundament
77,given,given
78,make,make
79,much,much
80,easier,easier
81,others,other
82,manipulate,manipul
83,want,want
84,instead,instead
85,changing,chang
86,Remember,rememb
87,right,right
88,That,that
89,gift,gift
90,divine,divin
91,powers,power
92,might,might
93,add,add
94,cherish,cherish
95,They,they
96,relinquishing,relinquish
97,self,self
98,neither,neither
99,Except,except
100,every,everi
101,time,time
102,feel,feel
103,particular,particular
104,situation,situat
105,ability,abil
106,To,To
107,reclaim,reclaim
108,back,back
109,creative,creativ
110,involves,involv
111,taking,take
112,two,two
113,steps,step
114,belief,belief
115,learning,learn
116,consciousness,conscious
117,possess,possess
118,Doing,do
119,take,take
120,However,howev
121,sooner,sooner
122,begin,begin
123,reap,reap
124,benefits,benefit
125,deliberate,deliber
126,must,must
127,shift,shift
128,live,live
129,cant,cant
130,Along,along
131,new,new
132,come,come
133,understand,understand
134,high,high
135,tech,tech
136,controlling,control
137,device,devic
138,seek,seek
139,tool,tool
140,enable,enabl
141,shape,shape
142,Learning,learn
143,next,next
144,step,step
145,process,process
146,Good,good
147,comes,come
148,without,without
149,An,An
150,uncontrolled,uncontrol
151,like,like
152,wild,wild
153,untamed,untam
154,animal,anim
155,gets,get
156,driven,driven
157,many,mani
158,sources,sourc
159,emotions,emot
160,needs,need
161,desires,desir
162,All,all
163,factors,factor
164,play,play
165,part,part
166,directing,direct
167,toward,toward
168,state,state
169,roams,roam
170,freely,freeli
171,beast,beast
172,factor,factor
173,overwhelms,overwhelm
174,becomes,becom
175,director,director
176,beasts,beast
177,haphazard,haphazard
178,direction,direct
179,avoid,avoid
180,consciousnesss,consciousnesss
181,driving,drive
182,forces,forc
183,tamed,tame
184,shown,shown
185,work,work
186,together,togeth
187,obtain,obtain
188,wants,want
189,Now,now
190,help,help
191,point,point
192,lets,let
193,moments,moment
194,show,show
195,common,common
196,patterns,pattern
197,indicate,indic
198,Does,doe
199,wander,wander
200,regularly,regularli
201,jumping,jump
202,topic,topic
203,In,In
204,words,word
205,counted,count
206,amount,amount
207,dwelled,dwell
208,hour,hour
209,number,number
210,five,five
211,items,item
212,Anything,anyth
213,period,period
214,points,point
215,wandering,wander
216,Mind,mind
217,subtle,subtl
218,ways,way
219,undermine,undermin
220,sure,sure
221,sign,sign
222,makings,make
223,Do,Do
224,continually,continu
225,look,look
226,negative,neg
227,side,side
228,A,A
229,outlook,outlook
230,life,life
231,Emotions,emot
232,used,use
233,properly,properli
234,good,good
235,motivator,motiv
236,creating,creat
237,allow,allow
238,free,free
239,reign,reign
240,beastly,beastli
241,takes,take
242,Emotional,emot
243,runaway,runaway
244,destructive,destruct
245,form,form
246,another,anoth
247,strong,strong
248,indicator,indic
249,mentally,mental
250,drained,drain
251,Continual,continu
252,mental,mental
253,fatigue,fatigu
254,indication,indic
255,poor,poor
256,inner,inner
257,regulation,regul
258,With,with
259,inadequate,inadequ
260,expect,expect
261,anything,anyth
262,everything,everyth
263,If,If
264,lack,lack
265,strength,strength
266,necessary,necessari
267,needed,need
268,changes,chang
269,going,go
270,Poor,poor
271,management,manag
272,way,way
273,defeating,defeat
274,yet,yet
275,example,exampl
276,something,someth
277,savage,savag
278,consciously,conscious
279,mechanics,mechan
280,behind,behind
281,thought,thought
282,Not,not
283,knowing,know
284,operates,oper
285,especially,especi
286,greatly,greatli
287,hinder,hinder
288,use,use
289,computer,comput
290,havent,havent
291,clue,clue
292,operate,oper
293,outer,outer
294,devices,devic
295,Otherwise,otherwis
296,youll,youll
297,searching,search
298,food,food
299,operating,oper
300,instinct,instinct
301,alone,alon
302,While,while
303,may,may
304,eat,eat
305,well,well
306,days,day
307,So,So
308,dont,dont
309,primitive,primit
310,level,level
311,Im,Im
312,answered,answer
313,yes,ye
314,questions,question
315,Answering,answer
316,misfit,misfit
317,makes,make
318,unlearned,unlearn
319,Being,be
320,job,job
321,inefficient,ineffici
322,waste,wast
323,personal,person
324,resources,resourc
325,Because,becaus
326,fast,fast
327,necessity,necess
328,learn,learn
329,tame,tame
330,best,best
331,controlled,control
332,happen,happen
333,For,for
334,thing,thing
