,word,stem
0,I,I
1,wish,wish
2,back,back
3,high,high
4,school,school
5,one,one
6,urlLink,urllink
7,Wireless,wireless
8,Networking,network
9,TI,TI
10,graphing,graph
11,calculators,calcul
12,Back,back
13,full,full
14,games,game
15,saved,save
16,sanity,saniti
17,We,We
18,went,went
19,far,far
20,create,creat
21,Tetris,tetri
22,tournaments,tournament
23,BASIC,basic
24,85,85
25,learn,learn
26,assembly,assembl
27,92,92
28,never,never
29,get,get
30,enough,enough
31,knowledge,knowledg
32,help,help
33,college,colleg
34,course,cours
