,frequency
urlLink,1
Anarchists,1
and,7
the,5
fine,1
art,1
of,5
torture,3
Bauhaus,1
artists,1
such,2
as,3
Kandinsky,1
Klee,1
Itten,1
well,1
surrealist,1
film,1
maker,1
Luis,1
Bunuel,1
his,1
friend,1
Salvador,1
Dali,1
were,2
said,1
to,2
be,2
inspiration,1
behind,1
a,1
series,1
secret,1
cells,1
centres,1
built,1
in,1
Barcelona,1
elsewhere,1
The,2
avant,1
garde,1
forms,1
moment,1
surrealism,1
geometric,1
abstraction,1
thus,1
used,1
for,1
aim,1
committing,1
psychological,1
creators,1
revolutionary,1
liberating,1
artistic,1
languages,1
could,1
never,1
have,1
imagined,1
that,1
they,1
would,1
so,1
intrinsically,1
linked,1
repression,1
