,frequency
urlLink,1
How,1
Bad,1
Can,1
a,5
Dirty,1
Bomb,1
Be,1
If,2
relatively,2
tiny,1
dirty,1
bomb,1
one,5
containing,1
only,1
ten,2
pounds,1
of,8
TNT,1
and,2
pea,1
sized,1
amount,1
cesium,1
137,1
were,2
detonated,1
in,3
Washington,1
federation,1
scientists,2
recently,1
told,1
Congress,1
The,1
initial,1
passing,1
the,2
radioactive,1
cloud,1
would,5
be,2
harmless,1
no,1
have,3
to,2
evacuate,1
immediately,1
However,1
continued,1
residents,2
an,2
area,2
about,2
five,1
city,2
blocks,2
thousand,2
chance,2
getting,2
cancer,2
A,1
swath,1
mile,1
long,1
covering,1
forty,1
exceed,1
EPA,1
contamination,1
limits,1
with,1
remaining,1
having,1
decontamination,1
not,1
possible,1
these,1
areas,1
abandoned,1
for,1
decades,1
