,frequency
urlLink,2
The,1
Guilt,1
Free,1
Soldier,1
It,1
s,7
the,8
morning,1
after,1
pill,5
for,2
just,1
about,1
anything,2
that,4
produces,1
regret,1
remorse,1
pain,1
or,1
guilt,1
says,2
Dr,1
Leon,1
Kass,1
chairman,1
of,2
President,1
Council,1
on,2
Bioethics,1
who,1
emphasizes,1
he,2
speaking,1
as,1
an,1
individual,1
and,3
not,1
behalf,1
council,1
Barry,1
Romo,1
a,2
national,1
coordinator,1
Vietnam,1
Veterans,1
Against,1
War,1
is,2
even,1
more,1
blunt,1
That,3
devil,1
monster,1
anti,1
morality,1
can,2
make,1
men,1
women,1
do,1
think,1
they,1
get,1
away,1
with,1
it,3
Even,1
if,1
doesn,1
t,1
work,1
what,1
scary,1
young,1
soldier,1
could,1
believe,1
will,1
via,1
