,frequency
urlLink,1
Alabamians,1
fear,1
chemical,2
disaster,1
In,2
Anniston,1
and,7
the,5
cities,1
towns,1
nearby,1
people,2
talk,1
a,3
lot,1
about,1
plume,1
an,3
accidentally,1
released,1
toxic,1
cloud,1
how,1
fast,1
it,1
might,2
move,1
over,1
their,2
homes,2
schools,1
The,1
mood,1
hovers,1
between,1
paranoia,1
imminent,1
panic,1
giving,1
city,1
pending,1
doom,1
feel,1
of,3
old,1
Twilight,1
Zone,1
episode,1
eerie,1
preview,1
what,1
life,1
be,1
like,1
in,2
future,1
attack,1
by,1
terrorists,1
who,1
live,1
within,1
6,1
miles,1
incinerator,1
have,1
been,1
issued,1
protective,1
plastic,2
hoods,1
portable,1
air,1
filters,1
duct,1
tape,1
told,1
to,1
prepare,1
safe,1
room,1
