,frequency
urlLink,2
Wal,8
Mart,8
Troops,1
Meeting,1
Resistance,1
In,1
Inglewood,3
INGLEWOOD,1
California,1
AP,1
Reporters,1
embedded,1
with,1
the,17
SAM,1
17,1
division,1
of,9
report,1
that,3
they,3
have,2
completely,1
surrounded,1
Los,1
Angeles,1
suburb,1
Fighting,1
broke,1
out,1
when,1
anti,1
rebels,2
holding,1
town,1
forced,2
Californians,1
living,1
there,1
to,6
sign,2
petitions,1
denouncing,1
We,2
saw,1
an,1
area,1
world,2
unable,1
benefit,1
from,2
our,3
low,2
prices,2
stated,1
General,2
Lionel,1
Walton,2
So,1
we,3
moved,1
in,2
a,4
duty,1
as,2
de,1
facto,1
price,2
police,1
act,1
Nobody,1
me,1
anything,1
Alversia,1
Carmouche,1
beauty,1
shop,1
owner,1
told,1
reporters,1
after,1
battle,1
I,2
don,1
t,1
want,1
store,1
here,1
think,1
it,1
would,1
be,1
bad,1
for,2
local,3
economy,1
Other,1
citizens,1
expressed,1
similar,1
opinions,1
citing,1
closure,1
businesses,2
due,1
pressure,1
could,1
bring,1
strategists,1
dismissed,1
arguments,1
These,1
people,2
are,3
grip,1
their,2
powerful,1
city,1
council,1
The,2
leader,1
group,1
Alice,1
Stahnni,1
has,1
fomented,1
hatred,1
among,1
populace,2
us,2
and,3
great,1
values,1
effectively,1
brain,1
washed,1
said,1
Major,1
Carlton,1
When,1
finally,1
defeat,2
these,1
will,3
them,1
see,1
safe,1
high,1
welcome,1
liberators,1
News,1
failed,1
attempt,1
take,1
drove,1
stock,1
down,1
2,1
share,1
via,1
