,frequency
urlLink,3
The,1
Third,1
Rush,1
Nazi,1
researchers,1
used,2
concentration,1
camp,1
inmates,1
to,6
test,1
a,4
cocaine,1
based,1
wonder,1
drug,2
they,1
hoped,2
would,3
enhance,1
the,10
performance,3
of,7
German,2
troops,1
It,2
was,1
give,1
soldiers,1
almost,1
unlimited,1
fighting,1
powers,1
at,2
time,1
when,1
armies,1
were,1
in,1
retreat,1
Military,1
looks,1
drugs,2
for,4
battle,1
readiness,1
What,1
s,3
called,1
according,1
DARPA,1
is,4
radical,1
approach,1
achieve,1
continuous,1
assisted,1
up,1
seven,1
days,1
This,2
actually,1
involve,1
much,1
more,2
than,1
linear,1
incremental,1
and,6
limited,1
approaches,1
stimulants,1
like,1
caffeine,1
amphetamines,1
better,1
warrior,1
through,1
chemistry,1
field,1
being,2
looked,1
very,2
closely,1
part,1
research,1
going,1
on,1
that,2
aggressive,1
wide,1
open,1
U,2
S,2
Moves,1
Into,1
Bioweapon,1
Era,1
far,1
advanced,1
means,1
enhancing,1
are,1
studied,1
by,1
Special,1
Operations,1
Command,1
Defense,2
Advanced,1
Research,1
Projects,1
Agency,1
other,1
Department,1
organizations,1
One,1
example,1
quarter,1
sized,1
body,2
monitors,1
can,1
be,1
implanted,1
under,1
skin,1
soldier,1
neck,1
trigger,1
release,2
chemicals,1
regulation,1
rejuvenating,1
