,frequency
urlLink,1
The,2
Life,1
Cycle,1
of,2
the,1
Inquisitive,1
Human,1
Your,1
inquisitive,1
nature,2
has,1
led,1
you,3
to,2
some,1
god,1
like,1
realisation,1
Earth,1
and,4
man,1
s,1
true,1
Great,1
Fucking,1
great,1
Now,1
what,1
answers,1
that,1
are,1
simple,1
1,1
You,3
take,2
medication,1
until,1
can,1
forget,1
it,1
all,1
be,1
normal,1
2,1
let,1
your,2
nihilism,1
over,1
commit,1
multiple,1
homicides,1
or,2
suicide,1
3,1
begin,1
rather,1
impotent,1
career,1
as,1
an,1
activist,1
political,1
philosophical,1
social,1
otherwise,1
