,frequency
urlLink,2
After,1
the,7
Martian,1
Apocalypse,1
Extraterrestrial,1
Artifacts,1
and,4
Case,1
for,1
Mars,2
Exploration,1
The,2
possibility,1
that,2
Face,1
is,3
an,1
artifact,1
of,4
unknown,1
manufacture,1
simultaneously,1
inspiring,1
troubling,1
to,2
our,1
perception,1
life,1
intelligence,1
in,2
cosmos,1
discoveries,1
on,2
suggest,1
human,1
race,1
stands,1
threshold,1
a,2
profound,1
shift,1
orthodox,1
scientific,1
thought,1
Inhabitants,1
tumultuous,1
dying,1
world,1
we,1
consign,1
Cydonia,1
fringe,1
where,1
its,1
implications,1
are,1
if,1
not,1
completely,1
invisible,1
at,1
least,1
unthreatening,1
But,1
this,1
denial,1
neither,1
wise,1
nor,1
warranted,1
via,1
