,frequency
urlLink,14
Closest,1
encounter,1
reported,1
between,1
asteroid,13
Earth,10
If,2
it,12
had,2
hit,2
probably,1
would,15
have,9
broken,1
up,1
in,12
the,34
atmosphere,1
Its,2
shock,1
wave,1
could,8
been,2
strong,1
enough,1
to,22
break,1
windows,1
on,2
ground,1
but,2
nothing,1
like,1
disastrous,1
climate,1
changing,1
effects,1
that,5
result,1
from,4
impact,2
of,13
an,8
more,2
than,1
a,18
half,1
mile,1
diameter,2
Asteroid,3
wiped,2
out,3
city,2
struck,1
created,1
crater,1
some,1
300,1
metres,1
The,6
blast,3
force,1
be,10
equivalent,1
small,1
nuclear,8
device,1
That,1
causing,1
hundreds,1
thousands,1
casualties,1
object,2
similar,1
size,1
fell,1
1908,1
Siberia,1
flattening,1
2,1
000,1
square,1
kilometres,1
forest,1
June,1
2002,5
Space,1
rock,1
s,5
close,2
approach,3
if,2
were,2
imaginary,1
line,1
joining,1
and,14
Sun,1
never,3
visible,1
night,1
time,2
sky,1
quite,1
impossible,1
discover,1
with,4
normal,1
telescopes,1
arrival,1
come,3
literally,1
as,9
bolt,1
blue,1
Largest,1
years,2
misses,1
It,3
good,2
thing,1
missed,1
because,3
we,2
saw,1
coming,1
wasn,1
t,2
discovered,1
until,1
three,1
days,1
after,2
passed,1
its,1
closest,1
our,1
planet,2
July,1
Hunt,1
for,6
Potentially,1
Deadly,1
Asteroids,2
Underfunded,1
Such,1
funding,1
used,1
first,1
locate,1
track,1
asteroids,1
comets,1
later,1
find,1
ways,1
defend,1
against,2
threats,1
eventually,1
use,1
space,1
objects,1
benefits,1
Earths,1
population,1
trigger,2
war,3
risk,2
is,5
seen,1
particularly,1
grave,1
happen,2
areas,1
military,1
tension,1
such,2
over,1
armed,1
neighbours,1
India,2
Pakistan,2
Businessman,1
offers,1
cave,1
shelter,1
Children,1
free,1
One,1
week,1
food,1
lighting,1
included,1
Scientists,1
Call,1
Hype,1
Unethical,1
Rubbish,1
British,2
press,1
just,2
love,1
these,1
stories,1
almost,1
doom,1
gloom,1
rather,1
let,1
long,1
lasts,1
very,1
dry,1
yet,2
healthy,1
sense,1
humor,1
can,1
see,1
funny,1
side,1
even,1
most,1
serious,1
problems,1
face,1
humans,1
problem,1
many,1
Americans,1
they,4
lack,1
this,2
light,1
heartedness,1
Just,1
Bunch,1
Holes,1
We,3
considered,1
keeping,1
discovery,1
process,1
all,1
under,1
wraps,1
But,1
then,2
conspiracy,1
nuts,1
woodwork,1
Not,1
haven,1
anyway,1
August,1
Ready,1
tackle,1
Armageddon,1
idea,1
mission,1
tell,1
scientists,1
how,1
hard,1
real,1
rogue,1
heading,1
order,1
deflect,1
safely,1
Cosmic,1
airbag,1
save,1
A,2
splitting,1
or,1
comet,1
into,1
dangerous,1
fragments,1
still,1
head,1
far,1
better,1
send,1
spacecraft,2
fly,1
alongside,1
threatening,1
inflate,1
giant,1
bag,2
using,1
gas,1
produced,1
by,2
chemical,1
reaction,1
push,1
October,1
Humans,1
Mars,1
Priority,1
human,3
exploration,1
key,1
future,1
race,1
Data,1
regarding,1
impacts,1
threat,1
super,1
volcanoes,1
are,2
worries,1
humanity,1
should,2
running,2
scared,1
exploring,1
solar,1
system,1
beings,1
fast,1
November,1
UK,1
withdraws,1
dirty,2
bomb,2
warning,3
terror,1
issued,1
government,1
has,1
withdrawn,1
30,1
minutes,1
was,1
released,1
False,1
alarms,1
early,1
systems,1
not,3
hair,1
triggered,1
situation,2
i,1
e,1
do,1
missiles,1
loaded,1
warheads,1
ready,1
launched,1
at,1
moments,1
notice,1
However,1
may,2
well,1
change,1
potential,1
increase,1
tremendously,1
This,1
necessarily,1
someone,1
intentionally,1
decides,1
launch,1
attack,1
other,1
nation,1
likely,1
accident,1
misidentifying,1
explosion,1
off,1
