,frequency
urlLink,2
Many,1
Tools,1
of,3
Big,1
Brother,1
Are,1
Up,1
and,2
Running,1
In,1
the,14
Pentagon,1
research,1
effort,1
to,2
detect,1
terrorism,1
by,1
electronically,1
monitoring,1
civilian,1
population,1
most,1
remarkable,1
detail,1
may,1
be,1
this,1
Most,1
pieces,1
system,1
are,1
already,1
in,2
place,1
US,1
government,2
database,1
spy,1
site,2
fading,1
away,1
sometime,1
last,1
week,1
TIA,4
shrank,1
still,1
more,1
some,1
links,1
ceased,1
work,1
The,1
logo,1
for,3
project,2
a,3
Masonic,1
pyramid,1
eyeballing,1
globe,1
vanished,1
highly,1
unusual,1
step,1
agency,1
So,1
did,1
s,1
Latin,1
scientia,1
est,1
potentia,1
slogan,1
which,2
means,1
knowledge,1
is,1
power,1
A,1
spokeswoman,1
Information,1
Awareness,1
Office,1
runs,1
at,1
Defense,1
Advanced,1
Research,1
Projects,1
Agency,1
DARPA,1
said,1
she,1
had,1
no,1
details,1
on,1
deletions,1
