,frequency
urlLink,2
The,3
Armageddon,1
Plan,1
Rumsfeld,1
and,6
Cheney,1
were,1
principal,1
actors,1
in,7
one,1
of,5
the,11
most,1
highly,1
classified,1
programs,1
Reagan,1
Administration,1
Under,1
it,1
U,3
S,3
officials,1
furtively,1
carried,1
out,1
detailed,1
planning,2
exercises,1
for,5
keeping,1
federal,1
government,5
running,1
during,1
after,2
a,4
nuclear,1
war,1
with,1
Soviet,2
Union,1
program,1
called,1
setting,1
aside,1
legal,1
rules,1
presidential,1
succession,1
some,2
circumstances,1
favor,1
secret,1
procedure,1
putting,1
place,1
new,1
President,2
his,1
staff,1
By,1
way,1
Planned,1
Secret,1
Government,1
Soviets,1
Launched,1
Sputnik,1
1957,1
Worried,1
that,2
attack,1
could,2
cripple,1
Eisenhower,1
secretly,1
recruited,1
six,1
private,1
citizens,1
granted,1
them,1
authority,1
to,4
run,1
major,1
components,1
an,1
emergency,1
according,1
recently,1
publicized,1
letters,1
president,1
was,1
unthinkable,1
He,1
wanted,1
bring,1
wisdom,1
competence,1
reinforce,1
whatever,1
elements,1
survived,1
provide,1
assurance,1
our,1
not,1
be,1
decapitated,1
