,frequency
urlLink,3
Ivy,1
League,1
Nude,1
Photos,1
entire,1
generations,1
of,3
America,1
s,1
ruling,1
class,1
had,1
been,1
unwitting,1
guinea,1
pigs,1
in,1
a,4
vast,1
eugenic,1
experiment,1
run,1
by,1
scientists,1
with,3
master,1
race,1
hidden,1
agenda,1
via,1
What,1
happened,1
to,2
Aldous,1
Huxley,1
The,1
body,3
typing,1
theories,2
William,1
Sheldon,3
the,2
academic,2
psychologist,1
who,1
gave,1
us,1
words,2
endomorph,1
mesomorph,1
and,3
ectomorph,1
were,1
another,1
enthusiasm,1
taught,1
that,1
every,1
human,1
physiognomy,1
could,1
be,2
placed,1
somewhere,1
on,1
type,2
triangle,1
these,1
extremes,1
at,1
its,1
three,1
vertices,1
Associated,1
each,1
component,1
was,1
characteristic,1
personality,1
which,1
named,1
respectively,1
viscerotonic,1
somatotonic,1
cerebrotonic,1
These,1
are,1
scattered,1
through,1
Huxleys,1
books,1
must,1
very,1
baffling,1
readers,1
now,1
when,1
Sheldons,1
have,1
sunk,1
into,1
oblivion,1
