,frequency
urlLink,1
Independent,1
9,1
11,4
Commission,1
in,1
Jeopardy,1
The,2
leader,1
of,5
a,2
group,1
Sept,3
relatives,1
Stephen,1
Push,1
Families,1
has,1
questioned,1
whether,1
the,3
White,1
House,1
was,1
trying,1
to,1
block,1
commission,1
As,1
recently,1
as,2
Monday,1
they,2
were,1
bringing,1
up,2
issues,1
never,1
brought,1
before,1
he,1
said,1
breakdown,1
talks,1
come,1
tensions,1
have,1
been,1
rising,1
between,1
intelligence,1
agencies,1
and,1
congressional,1
panel,1
investigating,1
attacks,1
