,frequency
God,3
fled,1
Heaven,1
to,5
escape,1
an,1
audacious,1
demon,1
attack,1
a,2
celestial,1
Tet,1
Offensive,1
The,1
demons,1
smashed,1
dust,1
his,3
palace,1
of,7
beautiful,1
blue,1
moon,1
marble,1
TV,1
news,1
kept,1
it,1
secret,1
but,1
homeless,1
children,2
in,2
shelters,1
across,1
the,8
country,1
report,1
being,3
awakened,1
from,2
troubled,1
sleep,1
and,6
alerted,1
by,3
dead,1
relatives,1
No,1
one,1
knows,1
why,1
has,3
never,1
reappeared,1
leaving,1
stunned,1
angels,1
defend,1
earthly,1
estate,1
against,1
assaults,1
Hell,1
after,1
two,1
World,1
Wars,1
numerous,1
worldwide,1
religio,1
blood,1
feuds,1
holocausts,1
some,1
them,1
going,1
on,1
as,1
we,2
speak,1
century,1
unmitigated,1
misery,1
darkness,1
passed,1
where,1
have,1
seen,1
probably,1
largest,1
number,1
victims,1
torture,1
violent,1
death,1
history,1
planet,1
It,1
made,1
more,1
people,2
than,1
ever,1
face,1
dark,1
side,1
existence,1
More,1
are,3
ambivalent,1
about,1
told,1
mainstream,1
religiosity,1
that,1
they,1
tested,1
this,1
all,1
powerful,1
who,1
frequently,1
seems,1
unwilling,1
or,1
unable,1
take,1
time,1
out,1
differentiate,1
between,1
good,1
guys,2
bad,1
urlLink,2
especially,1
when,1
small,1
involved,1
via,1
