,frequency
urlLink,1
Techsploitation,1
Psychedelic,1
Sci,1
Fi,1
I,1
am,1
stoned,1
the,6
captain,1
says,1
gravely,1
his,2
face,1
in,2
half,1
light,1
as,1
glowing,1
spaceship,1
controls,1
leave,1
trails,1
darkness,1
behind,1
him,1
He,1
and,3
intrepid,1
crew,1
have,3
just,1
smoked,1
a,4
nicely,1
rolled,1
joint,1
perfect,1
preparation,1
for,1
their,2
fatal,1
mission,1
In,1
psychedelic,1
apocalypse,1
future,1
planet,1
Earth,1
is,1
doomed,1
because,1
sperm,1
counts,1
gotten,1
so,1
low,1
that,2
nobody,1
can,2
reproduce,1
Elite,1
crews,1
of,2
men,1
been,1
sent,1
to,4
far,1
reaches,1
galaxy,1
find,1
fertility,1
place,1
plant,1
last,2
remaining,1
seed,1
They,1
are,1
armed,1
only,1
with,1
pot,1
booze,1
special,1
pill,1
will,1
make,1
them,2
potent,1
granting,1
one,1
chance,1
inseminate,1
whatever,1
they,2
before,1
die,1
