,frequency
urlLink,2
Some,1
Web,3
Chat,1
Ideas,1
Are,1
Out,1
of,4
This,1
World,1
A,1
milestone,1
in,2
human,1
civilization,1
was,2
reached,1
yesterday,1
afternoon,1
with,3
hardly,1
any,1
notice,1
The,2
U,1
S,1
government,1
made,1
contact,1
an,2
extraterrestrial,1
space,1
creature,1
one,1
King,1
Bloop,1
Zod,1
planet,1
Mars,1
sent,1
e,1
mail,1
to,1
the,1
White,1
House,1
site,1
hopes,1
communicating,1
earthling,1
Mel,1
R,1
Martinez,1
secretary,1
Housing,1
and,1
Urban,1
Development,1
who,1
holding,1
a,1
chat,1
via,1
