,frequency
urlLink,2
Professor,1
exposes,1
the,4
aliens,1
among,1
us,1
Dr,1
Trundle,1
paints,1
a,4
virtual,1
Men,1
in,4
Black,1
picture,1
of,3
ET,1
scene,1
which,3
several,1
species,2
are,2
visiting,1
earth,2
most,1
human,1
form,1
But,1
why,1
There,1
benign,1
scenarios,1
they,3
might,1
be,1
seen,1
as,1
anthropologists,1
coming,1
here,1
out,1
curiosity,1
he,1
said,1
Then,1
there,1
is,4
more,2
threatening,1
scenario,1
that,2
re,1
studying,1
to,2
see,1
if,1
habitable,1
An,1
even,1
worrisome,1
possibility,1
have,1
hybrid,1
program,1
sexually,1
mating,1
with,1
humans,1
strengthen,1
their,1
via,1
