,frequency
urlLink,1
Bills,1
Down,1
With,1
Citizen,1
Database,1
Seeking,1
to,5
catch,1
terrorists,1
before,1
they,1
strike,1
the,7
research,1
program,2
aims,1
develop,1
data,1
mining,1
and,2
pattern,1
matching,1
tools,1
search,1
databases,1
that,1
track,1
American,3
citizens,1
purchases,1
doctor,1
s,1
visits,1
travel,1
itineraries,1
It,1
is,1
signature,1
project,1
of,2
Information,1
Awareness,1
Office,1
which,1
operates,1
under,1
Defense,1
Advanced,1
Research,1
Projects,1
Agency,1
commonly,1
known,1
as,1
DARPA,1
a,1
broad,1
coalition,1
public,1
interest,1
groups,1
ranging,1
from,1
Civil,1
Liberties,1
Union,2
Conservative,1
urged,1
Congress,1
scrap,1
surveillance,1
