,frequency
urlLink,2
Bush,2
Cartel,2
Talks,1
of,1
Steps,1
to,2
Potentially,1
Cancel,1
Postpone,1
the,3
Presidential,1
Election,1
This,1
is,1
For,1
Real,1
Folks,1
When,1
you,3
can,1
just,2
cancel,1
election,2
don,1
t,2
need,1
steal,1
it,1
by,1
preventing,1
legal,1
voters,1
from,3
casting,1
their,1
ballots,1
do,1
The,1
has,1
always,1
escalated,1
its,1
boldness,1
when,1
faced,1
with,1
losses,1
Now,1
they,2
won,1
prevent,2
a,1
few,1
thousand,1
people,1
voting,2
in,1
Florida,1
may,1
entire,1
country,1
via,1
