,frequency
urlLink,1
Minding,2
the,28
Planet,2
Testing,1
Meme,1
Propagation,1
In,1
Blogspace,1
Add,1
Your,1
Blog,1
This,1
posting,5
is,11
a,6
community,1
experiment,10
that,3
tests,1
how,3
meme,3
represented,1
by,5
this,19
blog,6
spreads,1
across,3
blogspace,2
physical,1
space,2
and,14
time,4
It,2
will,5
help,2
to,13
show,2
ideas,1
travel,1
blogs,5
in,6
are,2
connected,1
may,2
also,1
which,1
aggregation,1
sites,2
most,1
influential,1
propagation,3
of,9
memes,2
The,4
dataset,1
from,2
be,4
public,2
can,1
located,2
via,2
Google,2
or,8
Technorati,1
doing,1
search,3
for,6
GUID,3
below,7
original,2
at,4
Permalink,1
http,3
novaspivack,1
typepad,1
com,2
nova_spivacks_weblog,1
2004,1
08,2
a_sonar_ping_of,1
html,1
results,2
commentary,1
appear,1
there,1
future,1
Please,2
join,1
test,2
adding,2
your,8
see,3
instructions,1
inviting,1
friends,1
participate,3
more,1
better,1
data,4
open,1
others,1
use,3
it,4
visualize,1
study,1
connectedness,1
as098398298250swg9e98929872525389t9987898tq98wteqtgaq62010920352598gawst,1
enables,1
anyone,1
easily,1
other,1
engines,1
all,1
once,1
they,1
have,2
indexed,1
Anyone,1
free,1
analyze,2
publicize,1
analysis,1
any,1
comments,2
onto,1
post,4
URL,3
above,1
Note,2
would,1
interesting,1
geographic,1
map,2
temporal,1
animation,1
as,2
well,1
social,1
network,1
INSTRUCTIONS,1
To,1
add,1
copy,1
entire,1
then,1
answer,1
questions,2
substituting,1
own,3
information,2
where,1
appropriate,1
Other,1
than,1
answering,1
please,1
do,1
not,1
alter,1
layout,1
format,1
order,1
preserve,1
integrity,1
make,1
easier,1
searchers,1
automated,1
bots,1
find,1
later,1
REQUIRED,1
FIELDS,2
Replace,2
answers,4
with,2
1,1
I,8
found,2
blogdex,1
net,2
2,1
Newsreader,1
Software,1
Browsing,2
Web,3
Searching,1
An,1
E,1
Mail,1
Message,1
3,1
posted,3
www,1
atomic,1
4,1
on,1
date,1
day,2
month,2
year,2
03,1
04,1
5,1
24,1
hour,1
00,3
30,1
6,1
My,7
location,1
city,1
state,1
country,1
Conroe,1
Texas,1
USA,1
OPTIONAL,1
SURVEY,1
7,1
hosted,1
Simplehost,1
8,1
age,1
42,1
9,1
gender,1
Male,1
10,1
occupation,1
Security,1
Officer,1
11,1
following,2
RSS,1
Atom,1
reader,1
software,2
Sage,1
12,1
my,1
Blogger,1
13,1
been,1
blogging,1
since,1
01,1
02,1
14,1
web,1
browser,1
Mozilla,1
Firefox,1
15,1
operating,1
system,1
Windows,1
XP,1
Pro,1
