,frequency
urlLink,2
Hey,1
Cheech,1
check,1
your,1
wallet,1
man,2
via,1
Miami,1
Vice,1
star,1
Don,1
Johnson,2
is,1
being,1
probed,1
by,1
German,1
customs,2
after,1
8,2
billion,2
was,3
found,1
in,3
a,4
suitcase,1
his,1
car,2
The,1
actor,1
stopped,1
driving,1
into,1
the,3
country,1
from,1
Switzerland,1
and,2
paper,1
fortune,1
discovered,1
shares,1
bonds,1
cheques,1
credit,1
notes,1
When,1
asked,1
about,1
53,1
allegedly,1
said,1
I,1
am,1
going,1
to,2
buy,2
According,1
reports,1
replied,1
With,1
that,1
kind,1
of,1
money,1
you,1
could,1
factory,1
