,frequency
urlLink,2
Liberty,1
in,4
Our,1
Lifetime,1
We,5
will,6
repeal,2
state,4
taxes,1
and,6
wasteful,1
government,2
programs,1
end,3
the,4
collaboration,1
between,1
federal,2
law,1
enforcement,1
officials,1
enforcing,1
unconstitutional,1
laws,2
outlawing,1
drugs,1
guns,1
asset,1
forfeiture,1
abuses,1
of,2
eminent,1
domain,1
privatize,1
utilities,1
inefficient,1
regulations,1
monopolies,1
Then,1
we,1
negotiate,1
directly,1
with,1
for,1
more,1
autonomy,1
Provided,1
course,1
that,1
feds,1
don,1
t,1
send,1
ATF,1
to,1
burn,1
us,1
all,1
alive,1
our,1
house,1
via,1
Disinformation,1
