,frequency
This,1
is,4
one,1
I,1
haven,1
t,2
seen,1
before,1
You,1
have,2
to,5
love,1
it,1
when,1
The,1
Discovery,1
Channel,1
has,2
UFO,3
marathons,1
Witness,1
if,1
you,1
dare,1
the,3
FEMA,1
approved,1
urlLink,1
FIRE,1
OFFICERS,1
GUIDE,1
TO,1
DISASTER,1
CONTROL,1
Chapter,1
13,1
Disaster,1
Control,1
and,3
UFOs,4
Near,1
approaches,1
of,2
can,1
be,1
harmful,1
human,1
beings,1
Do,2
not,2
stand,1
under,1
a,3
that,2
hovering,1
at,1
low,1
altitude,1
touch,2
or,1
attempt,1
landed,1
In,1
either,1
case,1
safe,1
thing,1
do,1
get,1
away,1
from,2
there,2
very,1
quickly,1
let,1
military,1
take,2
over,1
There,1
possibility,1
radiation,1
danger,1
are,1
known,1
cases,1
where,1
persons,1
been,1
burned,1
by,1
rays,1
emanating,1
Don,1
chances,1
with,1
