,frequency
urlLink,2
Professor,1
X,1
The,1
Shulgins,1
can,1
come,1
across,1
like,1
a,3
psychedelic,1
version,1
of,1
the,4
Osbournes,1
an,1
ambling,1
eccentric,1
paterfamilias,1
kid,1
who,2
s,1
caught,1
up,1
in,1
family,1
business,1
and,2
savvier,1
more,1
aggressive,1
wife,1
protects,1
them,1
from,1
outside,1
world,1
Shulgin,1
has,1
some,1
establishment,1
leanings,1
He,1
belongs,1
to,1
elite,1
all,1
male,1
Bohemian,1
Club,1
Dick,2
Cheney,1
George,1
Shultz,1
are,1
members,1
Heh,1
heh,1
here,1
put,1
this,1
on,1
your,1
tongue,1
