,frequency
This,1
type,1
of,6
raid,1
is,3
contrary,1
to,5
the,4
way,1
our,5
community,1
wants,1
police,3
conduct,1
themselves,1
The,2
deployment,1
SWAT,1
units,1
should,1
be,1
limited,1
extraordinary,1
circumstances,1
such,1
as,1
a,4
hostage,1
situation,1
sniper,1
or,1
bomb,1
threat,1
We,2
hope,1
that,2
Eugene,1
will,1
follow,1
in,2
paths,1
several,1
other,1
cities,1
and,3
reign,1
abuses,1
perpetuated,1
by,1
rogue,1
agencies,1
There,1
deep,1
sense,2
betrayal,1
loss,1
trust,1
believed,1
were,1
supposed,1
protect,1
safety,1
Constitutional,1
rights,1
Instead,1
they,1
attacked,1
us,1
with,1
machine,1
guns,1
without,1
cause,1
They,1
have,1
destroyed,1
my,1
security,1
How,1
can,1
we,1
ever,1
feel,1
safe,1
again,1
urlLink,2
What,1
happening,1
country,1
via,1
Hive,1
