,frequency
urlLink,3
War,1
of,8
the,12
Words,1
Scientist,1
Attacks,1
Alien,1
Claims,1
Astronomer,1
Philip,1
Plait,2
is,6
tired,1
radio,1
personality,1
Richard,1
Hoagland,4
s,5
claims,1
He,1
had,1
enough,2
assertions,1
that,3
NASA,1
covering,1
up,1
evidence,1
extraterrestrial,1
life,3
infamous,1
Face,1
on,2
Mars,1
was,1
built,1
by,1
sentient,1
aliens,1
and,6
late,1
otherworldly,1
machine,1
parts,1
are,1
embedded,1
in,2
red,1
planet,1
dirt,1
I,1
ve,1
let,1
this,2
fester,1
long,1
wrote,1
recently,1
This,2
kind,1
pseudoscience,1
like,1
a,4
virus,1
At,1
low,1
levels,1
it,3
no,1
big,1
deal,1
but,2
when,1
reaches,1
certain,1
threshold,1
becomes,1
sickening,1
Nasa,1
Running,1
Scared,1
Shooting,1
Messenger,1
A,1
messenger,1
under,1
attack,2
The,2
message,2
being,3
hidden,1
has,1
existed,1
may,1
still,1
exist,1
beyond,1
earth,1
We,1
know,1
now,1
from,2
scientific,1
observation,1
study,1
data,1
returned,1
both,1
manned,1
unmanned,1
missions,1
into,1
near,1
Earth,2
space,1
to,2
moon,1
planets,1
our,1
home,1
solar,1
system,1
Debunking,1
Campaign,1
should,1
be,1
seen,1
not,1
as,2
personal,1
upon,1
tactic,1
implementing,1
Brookings,1
Report,1
keeping,1
official,1
lid,1
ET,1
off,1
discoveries,1
