,frequency
urlLink,1
The,3
end,1
is,3
always,1
now,1
structure,2
and,2
meaning,1
of,6
time,2
the,6
meeting,1
place,1
this,1
age,1
eternity,1
are,1
consistent,1
concerns,1
desire,1
to,2
understand,2
history,1
its,3
unity,1
goal,1
future,1
hope,1
which,1
it,1
promises,1
not,1
a,2
passing,1
interest,1
or,1
momentary,1
whim,1
but,1
perennial,1
human,1
concern,1
A,1
sense,1
belonging,1
in,1
as,2
well,1
need,1
special,1
significance,1
present,1
anthropological,1
root,1
apocalyptic,1
systems,1
thought,1
