,frequency
urlLink,2
Preparing,1
for,3
The,1
Big,1
One,1
If,2
there,2
is,3
absolutely,1
nothing,1
you,3
can,3
do,1
about,1
it,3
t,2
intercept,1
move,1
people,1
out,1
of,2
the,3
way,1
then,2
makes,1
no,1
sense,1
to,1
incur,1
social,1
costs,1
from,1
whatever,1
panic,1
or,1
overreaction,1
will,1
be,1
argued,1
Geoffrey,1
Sommer,1
Rand,1
Corporation,1
who,1
has,1
been,1
studying,1
how,1
policymakers,1
should,1
react,1
and,1
prepare,1
Armageddon,1
an,1
extinction,1
type,1
impact,1
inevitable,1
ignorance,1
populous,1
bliss,1
via,1
