,frequency
urlLink,2
The,1
Saddam,3
and,4
George,2
show,1
Tony,1
Blair,1
moderator,1
Welcome,1
to,5
the,7
first,1
televised,1
debate,2
between,2
W,1
Bush,2
Hussein,1
live,1
from,2
United,1
Nations,1
headquarters,1
in,2
New,1
York,1
We,1
will,1
begin,1
with,1
a,1
brief,1
opening,1
statement,1
each,1
of,4
you,2
First,1
all,1
I,2
would,1
just,1
like,1
welcome,1
my,1
evil,1
friend,1
UN,1
one,1
great,1
American,1
institutions,1
for,1
propulsion,1
freedom,1
throughout,1
world,1
Thank,1
Great,1
Satan,1
hope,1
that,1
today,1
s,3
we,1
may,1
find,1
some,1
common,1
ground,1
Iraqi,1
people,1
commitment,1
peace,1
human,1
progress,1
America,1
desire,1
destroy,1
Middle,1
East,1
via,1
