,frequency
Wonder,1
if,1
any,1
of,9
the,13
vast,1
sums,1
money,1
approved,1
for,2
new,2
Department,1
Homeland,1
Security,1
are,1
set,1
aside,1
black,4
uniforms,3
with,3
knee,1
length,1
boots,1
and,7
leather,1
trench,1
coats,1
Should,1
be,5
Since,1
weve,1
gone,1
to,4
all,4
this,1
trouble,1
create,2
American,2
Gestapo,1
we,1
might,1
as,4
well,1
let,1
them,1
look,1
part,1
urlLink,3
Vee,1
Have,1
Vays,1
Making,1
You,1
Dress,1
The,2
collection,1
featured,1
designs,1
based,1
on,2
both,1
industrial,1
political,1
aesthetic,1
former,1
dictatorship,1
On,1
display,1
were,2
cloaks,1
knitted,1
sweaters,1
naturally,1
in,3
parade,1
ground,1
brown,1
often,1
emblazoned,1
regime,1
s,1
most,1
famous,1
symbol,1
swastika,1
In,1
a,1
neat,1
touch,1
jackets,1
dresses,1
edged,1
little,1
Iron,1
Crosses,1
fans,1
designer,1
tyranny,1
will,3
thrilled,1
know,1
that,3
these,1
clothes,1
can,1
also,1
found,1
New,1
York,1
Boston,1
LA,1
Nazi,1
Fashion,1
Tips,1
One,1
faction,2
argued,1
favor,1
white,2
should,1
snow,1
they,1
would,1
exclaim,1
To,1
symbolize,1
pure,1
cleansed,1
world,1
Germany,1
A,2
second,1
supported,1
As,1
death,1
visited,1
enemies,1
Aryan,1
people,1
third,1
group,1
suggested,1
Imperial,1
Purple,1
represent,1
inherent,1
nobility,1
true,1
Germans,1
All,1
sheep,1
must,1
wear,1
swishtika,1
Just,1
do,1
it,1
