,frequency
urlLink,1
DoD,2
offering,1
admin,2
privileges,1
on,2
mil,3
Web,2
sites,1
Care,1
to,5
register,2
a,2
site,1
of,2
your,1
own,1
for,1
free,1
The,2
has,1
gone,1
out,1
its,1
way,1
make,1
it,3
snap,1
An,1
unbelievably,1
badly,1
protected,1
interface,2
welcomes,1
you,3
whatever,1
domain,1
please,1
http,1
Rotten,1
anyone,1
or,1
edit,1
anything,1
they,1
ve,1
already,1
got,1
is,1
so,1
ludicrously,1
unprotected,1
that,2
s,1
been,1
cached,1
by,1
Google,1
and,1
fails,1
mention,1
must,1
be,1
authorized,1
muck,1
about,1
with,1
Incredibly,1
default,1
passwords,1
are,1
cheerfully,1
provided,1
the,1
page,1
