,frequency
urlLink,3
Shatner,2
s,2
Esperanto,1
Film,1
To,1
Air,1
on,1
Sci,2
Fi,2
The,1
network,1
is,2
taking,1
a,4
bold,1
risk,1
by,2
airing,1
cursed,1
film,3
After,1
its,1
release,1
in,2
France,1
1965,1
the,4
art,2
house,1
experiment,1
was,2
lost,1
for,1
30,1
years,1
In,2
that,1
span,1
of,2
time,1
movie,1
cast,1
and,2
crew,1
experienced,1
several,1
murders,1
suicide,1
kidnapping,1
Via,1
Atom,1
Grid,1
Curse,1
Incubus,1
obscure,1
60s,1
horror,1
William,1
terrorized,1
murderous,1
sea,1
creatures,1
What,1
happened,1
off,1
screen,1
worse,1
