,word,lemma
0,urlLink,urllink
1,The,the
2,Connection,connect
3,Culture,cultur
4,Conspiracy,conspiraci
5,RealPlayer,realplay
6,Required,requir
7,It,It
8,simple,simpl
9,really,realli
10,There,there
11,small,small
12,powerful,power
13,group,group
14,knows,know
15,lot,lot
16,These,these
17,people,peopl
18,driven,driven
19,lust,lust
20,power,power
21,money,money
22,pure,pure
23,evil,evil
24,ones,one
25,controlling,control
26,events,event
27,All,all
28,kinds,kind
29,little,littl
30,happens,happen
31,chance,chanc
32,That,that
33,according,accord
34,classic,classic
35,conspiracy,conspiraci
36,theory,theori
37,world,world
38,run,run
39,One,one
40,problem,problem
41,plenty,plenti
42,debate,debat
43,Could,could
44,CIA,cia
45,Catholic,cathol
46,Church,church
47,Council,council
48,Foreign,foreign
49,Relations,relat
50,Trilateralists,trilateralist
51,Jews,jew
52,Masons,mason
53,aliens,alien
54,landed,land
55,Roswell,roswel
56,chilling,chill
57,combination,combin
58,I,I
59,could,could
60,tell,tell
61,kill,kill
62,Lunar,lunar
63,Lunacy,lunaci
64,For,for
65,Apollo,apollo
66,missions,mission
67,historical,histor
68,fact,fact
69,But,but
70,lunar,lunar
71,landings,land
72,fade,fade
73,farther,farther
74,deep,deep
75,space,space
76,memory,memori
77,vocal,vocal
78,claiming,claim
79,whole,whole
80,thing,thing
81,cold,cold
82,war,war
83,ruse,ruse
84,disbelievers,disbeliev
85,fueled,fuel
86,controversial,controversi
87,TV,TV
88,specials,special
89,bizarre,bizarr
90,websites,websit
91,claim,claim
92,facts,fact
93,prove,prove
94,science,scienc
95,fiction,fiction
96,Shadow,shadow
97,Government,govern
98,America,america
99,shadow,shadow
100,government,govern
101,troubling,troubl
102,news,news
103,theorists,theorist
104,experts,expert
105,Credible,credibl
106,threats,threat
107,loose,loos
108,nukes,nuke
109,like,like
110,White,white
111,House,hous
112,spooked,spook
113,enough,enough
114,sequester,sequest
115,bureaucrats,bureaucrat
116,bunkers,bunker
117,back,back
118,consists,consist
119,one,one
120,branch,branch
121,Executive,execut
122,Why,whi
