,word,stem
0,urlLink,urllink
1,The,the
2,Hollywood,hollywood
3,Roots,root
4,First,first
5,Earth,earth
6,Battalion,battalion
7,ideas,idea
8,circulated,circul
9,mythical,mythic
10,force,forc
11,began,began
12,combat,combat
13,collective,collect
14,conscience,conscienc
15,principal,princip
16,contest,contest
17,viewed,view
18,television,televis
19,audience,audienc
20,judged,judg
21,end,end
22,ethical,ethic
23,superiority,superior
24,Thus,thu
25,cameras,camera
26,mounted,mount
27,dune,dune
28,buggies,buggi
29,Army,armi
30,War,war
31,College,colleg
32,exhaustive,exhaust
33,instructional,instruct
34,materials,materi
35,peacekeeping,peacekeep
36,All,all
37,first,first
38,represented,repres
39,thinkers,thinker
40,manual,manual
41,Channon,channon
42,statement,statement
43,may,may
44,sound,sound
45,hyperbolic,hyperbol
46,substitute,substitut
47,CNN,cnn
48,EARTH,earth
49,BATTALION,battalion
50,satellite,satellit
51,following,follow
52,document,document
53,good,good
54,description,descript
55,United,unit
56,States,state
57,military,militari
58,foreign,foreign
59,policy,polici
60,1990s,1990
61,despite,despit
62,hyperbole,hyperbol
63,New,new
64,Age,age
65,jargon,jargon
66,crystal,crystal
67,ball,ball
68,proved,prove
69,clearer,clearer
70,cynics,cynic
71,probably,probabl
72,expected,expect
73,And,and
74,nothing,noth
75,else,els
76,paper,paper
77,suggest,suggest
78,drug,drug
79,testing,test
80,became,becam
81,common,common
82,ranks,rank
83,mid,mid
84,1980s,1980
85,via,via
86,Manual,manual
87,PDF,pdf
