,word,lemma
0,urlLink,urllink
1,Operation,oper
2,RATS,rat
3,nationwide,nationwid
4,program,program
5,giving,give
6,millions,million
7,American,american
8,bigots,bigot
9,paranoiacs,paranoiac
10,nosy,nosi
11,neighbors,neighbor
12,snoops,snoop
13,snobs,snob
14,others,other
15,formal,formal
16,way,way
17,report,report
18,innocent,innoc
19,actions,action
20,offend,offend
21,national,nation
22,ego,ego
23,validation,valid
24,system,system
25,allows,allow
26,workers,worker
27,whose,whose
28,projected,project
29,self,self
30,loathing,loath
31,make,make
32,well,well
33,positioned,posit
34,judge,judg
35,whatever,whatev
36,done,done
37,would,would
38,like,like
