,word,stem
0,urlLink,urllink
1,Large,larg
2,world,world
3,found,found
4,beyond,beyond
5,Pluto,pluto
6,A,A
7,new,new
8,planet,planet
9,like,like
10,object,object
11,circling,circl
12,Sun,sun
13,one,one
14,half,half
15,billion,billion
16,kilometres,kilometr
17,Quaoar,quaoar
18,size,size
19,apparently,appar
20,larger,larger
21,ninth,ninth
22,moon,moon
23,Charon,charon
24,NIBIRU,nibiru
25,Nibiru,nibiru
26,4th,4th
27,dimensional,dimension
28,flagship,flagship
29,Milky,milki
30,Way,way
31,Galaxy,galaxi
32,Galactic,galact
33,Federation,feder
34,Many,mani
35,different,differ
36,civilisations,civilis
37,representatives,repres
38,live,live
39,aboard,aboard
40,It,It
41,battlestar,battlestar
42,ship,ship
43,time,time
44,main,main
45,peacekeeping,peacekeep
46,force,forc
47,galaxy,galaxi
48,2000,2000
49,BC,BC
50,little,littl
51,3,3
52,times,time
53,Earth,earth
