,word,lemma
0,urlLink,urllink
1,9th,9th
2,Circuit,circuit
3,rules,rule
4,individuals,individu
5,right,right
6,bear,bear
7,arms,arm
8,without,without
9,individual,individu
10,Second,second
11,Amendment,amend
12,protections,protect
13,government,govern
14,could,could
15,ban,ban
16,public,public
17,recourse,recours
18,tyranny,tyranni
19,The,the
20,doomsday,doomsday
21,provision,provis
22,one,one
23,designed,design
24,exceptionally,except
25,rare,rare
26,circumstances,circumst
27,rights,right
28,failed,fail
29,refuses,refus
30,stand,stand
31,election,elect
32,silences,silenc
33,protest,protest
34,courts,court
35,lost,lost
36,courage,courag
37,oppose,oppos
38,find,find
39,enforce,enforc
40,decrees,decre
41,via,via
42,Hive,hive
43,Ok,Ok
44,Other,other
45,check,check
46,Silences,silenc
47,Court,court
48,balls,ball
49,jar,jar
50,Now,now
51,War,war
52,starts,start
