,frequency
Justin,1
Hall,1
on,1
South,1
Korea,1
urlLink,1
korea,1
will,1
be,2
televised,1
TVs,2
in,4
cabs,1
subways,2
and,3
stacks,2
of,2
tiny,2
televisions,1
to,4
take,1
with,2
you,1
But,2
I,1
was,2
still,1
able,1
enjoy,1
more,2
television,1
this,2
time,1
the,3
Seoul,1
subway,1
Televisions,1
up,1
instead,1
static,1
ad,1
bulletin,1
boards,1
This,1
is,1
future,1
It,1
s,1
fun,2
see,1
watch,1
now,1
Soon,1
it,1
might,1
annoying,1
or,1
normal,1
first,1
brush,1
constant,1
televisual,1
stimulation,1
definitely,1
exciting,1
