,frequency
Mindjack,1
is,2
back,1
after,1
a,5
short,1
break,1
The,2
new,1
issue,2
has,1
urlLink,1
report,1
on,1
the,10
Supernova,2
conference,5
by,1
Doug,1
Roberts,1
2002,1
was,3
an,1
ambitious,1
and,2
Kevin,1
Warbach,2
organizer,1
along,1
with,1
pulver,1
com,1
acknowledged,1
that,4
from,1
outset,1
when,1
he,2
said,1
had,1
crammed,1
three,1
day,2
into,2
two,1
days,1
touted,1
as,3
glimpse,1
decentralized,1
future,1
Decentralized,1
systems,3
may,1
be,2
obvious,1
are,1
have,1
no,3
single,3
point,2
of,4
control,1
Internet,1
perfect,1
example,1
No,1
one,3
entity,1
or,1
agency,1
controls,1
it,2
server,1
provides,1
service,1
failure,1
will,1
bring,1
down,1
system,1
sees,1
these,1
types,1
fundamental,1
in,1
computing,1
for,1
next,1
decade,1
By,1
then,1
end,1
however,1
became,1
clear,1
going,1
to,1
about,1
thing,1
blogging,1
