,frequency
This,1
is,3
incredible,1
Scientists,1
have,1
discovered,1
a,1
Colossal,1
squid,2
in,1
the,6
Antartic,1
much,2
bigger,1
than,1
previous,1
biggest,1
giant,1
found,1
And,1
it,2
s,5
not,1
even,1
fully,1
grown,1
Deep,1
sea,1
exploration,3
nearly,1
as,3
fascinating,1
to,1
me,1
space,2
Just,1
imagine,1
that,3
there,3
something,1
like,1
this,1
no,1
one,1
has,1
ever,1
seen,1
alive,1
It,1
interesting,1
article,1
notes,1
funding,2
for,1
research,1
from,1
Discovery,1
Channel,1
While,1
great,1
some,1
available,1
just,1
with,1
should,1
be,1
more,1
