,word,stem
0,urlLink,urllink
1,Could,could
2,Insects,insect
3,Be,Be
4,Used,use
5,Instruments,instrument
6,Biological,biolog
7,Warfare,warfar
8,The,the
9,use,use
10,insects,insect
11,agents,agent
12,warfare,warfar
13,new,new
14,idea,idea
15,In,In
16,Biblical,biblic
17,story,stori
18,Exodus,exodu
19,one,one
20,plagues,plagu
21,visited,visit
22,upon,upon
23,Egyptians,egyptian
24,horde,hord
25,locusts,locust
26,short,short
27,lived,live
28,program,program
29,mid,mid
30,20th,20th
31,century,centuri
32,U,U
33,S,S
34,Army,armi
35,reared,rear
36,100,100
37,million,million
38,yellow,yellow
39,fever,fever
40,mosquitoes,mosquito
41,week,week
42,possible,possibl
43,biological,biolog
44,weapon,weapon
45,enemy,enemi
46,troops,troop
47,via,via
