,word,lemma
0,Definitely,definit
1,new,new
2,favorite,favorit
3,urlLink,urllink
4,Plastic,plastic
5,com,com
6,It,It
7,run,run
8,software,softwar
9,Slashdot,slashdot
10,called,call
11,Slash,slash
12,created,creat
13,kids,kid
14,looks,look
15,much,much
16,better,better
17,The,the
18,design,design
19,truly,truli
20,meaningless,meaningless
21,since,sinc
22,content,content
23,keeps,keep
24,coming,come
25,back,back
26,day,day
27,Instead,instead
28,pure,pure
29,tech,tech
30,seems,seem
31,like,like
32,intelligent,intellig
33,logical,logic
34,version,version
35,Salon,salon
36,topics,topic
37,broad,broad
38,enough,enough
39,My,My
40,hope,hope
41,people,peopl
42,find,find
43,great,great
44,site,site
45,use,use
46,comment,comment
47,system,system
