,word,stem
0,Ok,Ok
1,I,I
2,semi,semi
3,respectible,respect
4,car,car
5,thinking,think
6,taking,take
7,autocrossing,autocross
8,Let,let
9,explain,explain
10,case,case
11,never,never
12,heard,heard
13,Basically,basic
14,tight,tight
15,twisty,twisti
16,course,cours
17,constructed,construct
18,cones,cone
19,large,larg
20,parking,park
21,lot,lot
22,You,you
23,rarely,rare
24,go,go
25,60,60
26,MPH,mph
27,high,high
28,speed,speed
29,sport,sport
30,It,It
31,focuses,focus
32,cornering,corner
33,smooth,smooth
34,driving,drive
35,definitely,definit
36,good,good
37,enough,enough
38,manual,manual
39,consider,consid
40,year,year
41,plan,plan
42,checking,check
43,events,event
44,know,know
45,expect,expect
46,next,next
47,summer,summer
48,Anyway,anyway
49,check,check
50,urlLink,urllink
51,maps,map
52,get,get
53,better,better
54,idea,idea
