,word,stem
0,urlLink,urllink
1,12,12
2,2001,2001
3,Mind,mind
4,Meld,meld
5,Douglas,dougla
6,Adams,adam
7,John,john
8,Lloyd,lloyd
9,defined,defin
10,imaginary,imaginari
11,word,word
12,Mauuruig,mauuruig
13,inexpressible,inexpress
14,horror,horror
15,experienced,experienc
16,waking,wake
17,morning,morn
18,remembering,rememb
19,still,still
20,Scotty,scotti
21,Star,star
22,Trek,trek
23,To,To
24,wake,wake
25,find,find
26,Captain,captain
27,Kirk,kirk
28,must,must
29,bleaker,bleaker
30,Why,whi
31,whole,whole
32,world,world
33,ridicule,ridicul
34,William,william
35,Shatner,shatner
