,word,stem
0,God,god
1,damnit,damnit
2,Winamp,winamp
3,You,you
4,great,great
5,back,back
6,v2,v2
7,days,day
8,Then,then
9,turn,turn
10,v3,v3
11,bloated,bloat
12,slow,slow
13,mockery,mockeri
14,rewrite,rewrit
15,Oh,Oh
16,lo,lo
17,said,said
18,v5,v5
19,would,would
20,best,best
21,combined,combin
22,All,all
23,I,I
24,get,get
25,crash,crash
26,DELETED,delet
27,iTunes,itun
28,life,life
29,something,someth
30,better,better
31,comes,come
32,along,along
33,UPDATE,updat
34,So,So
35,go,go
36,uninstall,uninstal
37,program,program
38,freezes,freez
39,system,system
40,force,forc
41,reboot,reboot
42,Jedi,jedi
43,power,power
44,try,tri
45,It,It
46,takes,take
47,four,four
48,minutes,minut
49,UI,UI
50,come,come
51,Once,onc
52,app,app
53,uninstalled,uninstal
54,crashed,crash
55,explorer,explor
56,IE,IE
57,requiring,requir
58,another,anoth
59,Bah,bah
