,frequency
This,1
is,2
a,6
really,1
significant,1
precedent,1
First,1
there,1
was,3
the,7
intersection,2
of,4
commerce,1
on,2
edge,1
with,2
scores,1
E,1
Bay,1
auctions,1
selling,2
stuff,2
in,4
make,2
beleive,1
worlds,2
then,1
it,1
legitimised,1
game,3
companies,1
themselves,1
And,1
now,1
judge,1
real,2
world,2
rules,1
property,2
vistual,1
The,1
virtual,2
and,1
complete,1
http,1
www,1
reuters,1
com,1
newsArticle,1
jhtml,1
type,1
internetNews,1
storyID,1
4022155,1
Online,1
Gamer,1
China,1
Sues,1
Wins,1
Over,1
Virtual,1
Theft,1
Fri,1
December,1
19,1
2003,1
08,1
30,1
AM,1
ET,1
BEIJING,1
Reuters,1
A,1
Chinese,1
court,1
has,1
ordered,1
an,1
online,1
video,1
company,1
to,2
return,1
hard,1
won,1
including,1
believe,1
stockpile,1
bio,1
chemical,1
weapons,1
player,1
whose,1
account,1
looted,1
by,1
hacker,1
urlLink,1
Link,1
